ROW_NAMES,Halo_ARID4A_REPLICATE_dS_AVG,Halo_ARID4B_REPLICATE_dS_AVG,Halo_BRMS1_REPLICATE_dS_AVG,Halo_BRMS1L_REPLICATE_dS_AVG,Halo_GATAD1_REPLICATE_dS_AVG,HDAC1.Halo_REPLICATE_dS_AVG,HDAC2_Halo_REPLICATE_dS_AVG,Halo_ING1_REPLICATE_dS_AVG,Halo_ING2_REPLICATE_dS_AVG,MORF4L1_Halo_REPLICATE_dS_AVG,Halo_PHF12_REPLICATE_dS_AVG,Halo_RBBP4_REPLICATE_dS_AVG,Halo_SAP30_REPLICATE_dS_AVG,Halo_SAP30L_REPLICATE_dS_AVG,Halo_SAP130_REPLICATE_dS_AVG,SIN3A_Halo_REPLICATE_dS_AVG,SIN3B_2_Halo_REPLICATE_dS_AVG,Halo_SUDS3_REPLICATE_dS_AVG,complex
CAD,-0.8657059,-3.88884,9.749874,-2.844592,-1.19415,21.48157,2.788195,-3.81875,-1.793346,-3.645294,0,0.9369943,5.44483,10.63368,8.654232,-3.662294,3.9324,-2.359612,0
CCT2,-1.261376,-6.502949,-6.652906,-7.063098,-3.722216,465.466,977.3335,-1.676964,-4.102678,-1.667624,-3.116628,-12.9806,-5.716836,-7.634082,-6.661829,-4.186828,-5.511848,-6.249126,0
CCT5,-2.544371,-6.541212,-5.517806,-6.755196,-2.524946,310.0136,457.5115,-3.377881,-5.648168,-4.082908,0,-5.818633,-5.460307,-9.025689,-10.26892,-5.878565,-8.433214,-5.307381,0
TUBB6,-0.4065679,-5.173569,-1.966165,-0.5068237,-2.255421,50.30558,7.427179,-2.993833,-1.113568,-3.704191,0,-3.890757,11.7988,36.92333,-1.035713,-5.043594,17.04362,-3.22548,0
CHD4,-1.306823,-6.295242,-3.720631,-5.500757,-6.255073,1060.001,568.5795,-5.562904,-2.121069,-6.983501,-4.014313,-17.99423,-3.618584,-7.490708,-5.963586,-7.050518,0,-8.590822,0
TCP1,0,-1.311235,-4.409096,-2.632653,-3.607579,528.8659,761.3608,0,-1.772613,-1.638965,-4.675008,-13.83981,-7.744887,-18.75815,-5.512351,-3.00421,-7.706995,-1.51271,0
MSH2,0,-0.6305194,-0.5020739,-0.8206528,-0.4563726,0.2737249,-2.016239,-0.7406843,0,-1.076987,-0.02681077,0,20.22324,57.84644,-1.915347,-1.377989,-2.27892,0,0
CCT3,-1.724812,-2.497178,-3.444858,-4.385407,-1.091741,181.6271,400.429,-1.376053,-2.337304,0,0,-5.364888,0,-4.230389,-1.567934,-1.460902,-3.013178,-3.11344,0
CCT4,-0.9986138,-2.38594,-1.536468,-1.225685,0,186.521,304.227,-1.326614,-3.099177,0,0,-5.97137,-2.091148,-1.211358,-1.518495,0,-2.901941,-4.127498,0
CCT6A,0,-3.05522,-3.272163,-5.555335,-1.33976,421.5766,829.3004,0,-1.743534,0,0,-7.34904,-1.194796,-7.316729,0,0,-10.126,-4.759988,0
CCT8,-1.004825,-2.404574,-2.998754,-3.087472,-2.813629,167.5557,325.7665,0,-4.327108,0,0,-6.480471,-2.109782,-2.088565,-3.882162,-0.825397,-2.547763,-1.596219,0
MORF4L1,0,0,0,0,-14.97563,-26.41834,-17.66879,0,0,11057.22,-15.50638,-2.067454,0,0,0,0,-28.69555,0,0
