"Gene.Symbol","logFC","FC","AveExpr","t","pvalue"
"Hhipl1",0.584849328,1.5,2.587581338,2.433783483,0.024478863
"Ro60",0.580865776,1.496,2.26277143,2.133782605,0.045476953
"Map3k14",0.580651047,1.496,2.543830618,2.338927491,0.029871951
"Supt3",0.577876276,1.493,2.95174006,2.523494811,0.020226297
"Nos3",0.577047042,1.492,3.878298489,3.148912446,0.005066949
"Nr1d1",0.575895048,1.491,6.289406933,2.412292583,0.025614732
"Trnau1ap",0.574961717,1.49,2.600957645,2.109697432,0.047729472
"Erlin1",0.573678432,1.488,2.596628178,2.373318737,0.02780063
"Zfp64",0.572994253,1.488,2.874010711,2.3238101,0.030826863
"Tigd4",0.572739238,1.487,3.617432124,2.326674847,0.030643769
"Zbtb21",0.570552686,1.485,2.854378204,2.679409045,0.014440516
"Bet1l",0.570276517,1.485,2.451571581,2.131313123,0.045703392
"Itpkc",0.569211066,1.484,2.471401164,2.172261384,0.042077734
"Papss1",0.567426242,1.482,2.682258155,2.829380998,0.010384265
"Fabp3",0.564380931,1.479,7.793583957,2.720245341,0.013207239
"Mospd3",0.562749379,1.477,3.137256485,3.150350157,0.005050422
"Gm26722",0.561782724,1.476,2.482875003,2.187182446,0.040823031
"Trmu",0.560398818,1.475,2.629099423,2.4108757,0.025691317
"Apbb1",0.559073687,1.473,3.034217753,2.700078982,0.013803211
"Atm",0.559042539,1.473,3.507813871,3.117290456,0.005444035
"Slc26a11",0.55897388,1.473,2.230358691,2.447739045,0.023766592
"Zfp963",0.556377795,1.471,2.110634965,2.49688585,0.021409363
"Gbp4",0.553421998,1.468,2.796626954,2.272758717,0.034263683
"Zfp112",0.550896331,1.465,3.114093825,2.995633608,0.007165007
"Zfp113",0.549352539,1.463,2.298117035,2.282451909,0.033585163
"Rfx5",0.547941297,1.462,3.032673542,2.529259685,0.019978199
"Ppp1r18",0.537968002,1.452,3.326431855,3.330950491,0.003342995
"Zfp292",0.536620119,1.451,3.794610863,2.517427521,0.020490531
"Tril",0.535764751,1.45,2.25502766,2.139901503,0.044920259
"Casp9",0.535091619,1.449,2.304628054,2.090082357,0.049637964
"Parp10",0.528720494,1.443,2.762812632,2.426806054,0.024842396
"Malt1",0.525818023,1.44,2.542424755,2.33496005,0.030119878
"Slc12a7",0.525149057,1.439,3.47288072,2.985430837,0.007331149
"Ccdc28a",0.524737546,1.439,2.23260345,2.226012871,0.03771614
"Tspan4",0.524330412,1.438,3.659921027,2.728589525,0.012967871
"Braf",0.522982953,1.437,3.604625528,2.296224683,0.032642326
"Ovgp1",0.521601422,1.436,2.204606981,2.343869701,0.029565751
"Zbtb14",0.518674039,1.433,3.468366227,3.114999315,0.005472391
"Snx10",0.517754529,1.432,2.691927839,2.108444749,0.047849343
"Arid3a",0.511157115,1.425,2.116092202,2.242891954,0.036434331
"Rbm12",0.508427084,1.422,2.675623624,2.239762503,0.036668927
"Ranbp1",0.506418493,1.421,3.560563054,3.167401094,0.004858365
"Egfl7",0.50641731,1.421,4.850173869,3.12757821,0.00531846
"Adar",0.505917276,1.42,2.869421892,2.14083049,0.044836283
"Cpne3",0.503755353,1.418,3.331394659,2.406661536,0.025920361
"Auts2",0.500412402,1.415,3.783172162,2.140092825,0.044902953
"Efnb2",0.499799554,1.414,3.285034423,2.323604764,0.030840025
"Pusl1",0.497081874,1.411,2.843408436,2.735613677,0.012769575
"Cpsf6",0.495513352,1.41,4.160615907,2.769113619,0.011862917
"Khnyn",0.494646153,1.409,3.993080603,2.711498234,0.013462673
"Dvl2",0.492720705,1.407,2.769728645,2.320351272,0.031049272
"Zfp120",0.488098615,1.403,3.166577367,2.508542241,0.020883338
"Tmem9",0.487199521,1.402,2.844228144,2.092268435,0.049421905
"Cdc42se1",0.486504201,1.401,3.953919818,3.005337276,0.007010368
"Arhgap1",0.485088404,1.4,2.967558826,2.16704668,0.04252445
"Kcng4",-0.501059952,-1.415,4.498594482,-2.220408615,0.038150776
"Pigg",-0.50245883,-1.417,2.923426733,-2.361485576,0.028497811
"Dapk1",-0.513335831,-1.427,2.397331116,-2.18164405,0.041284717
"Prorsd1",-0.5616542,-1.476,2.973667538,-2.702472711,0.013731156
"Nsdhl",-0.640017372,-1.558,2.189075572,-2.672729434,0.014652365
"Rab4b",-0.650885777,-1.57,2.312083697,-2.348264165,0.029295928
"Cep76",-0.650922667,-1.57,2.93346781,-3.617898376,0.001723238
"C030037D09Rik",-0.65383737,-1.573,1.633048038,-2.139687894,0.044939589
"Gm26899",-0.668297682,-1.589,1.531531927,-2.120220807,0.046733155
"Nfkbia",-0.668922852,-1.59,5.199399014,-2.222058963,0.03802231
"Teddm2",-0.672252213,-1.594,1.851500282,-2.214266764,0.038632363
"Gm21983",-0.700531023,-1.625,2.106548131,-2.298284048,0.032503463
"Nup35",-0.716208672,-1.643,1.725030202,-2.554696047,0.018917255
"Gm37759",-0.727493436,-1.656,1.733224843,-2.088623778,0.049782595
"Lamb3",-0.728160923,-1.657,1.770928456,-2.632555607,0.015989939
"Accs",-0.730584536,-1.659,1.627337038,-2.232489963,0.03721946
"Mt2",-0.735779586,-1.665,3.752574615,-2.645601155,0.01554341
"Zfp653",-0.763082276,-1.697,2.568262521,-2.490539851,0.021700935
"Mettl21e",-0.791791628,-1.731,2.93052493,-3.053749932,0.00628579
"Map2k3os",-0.804584689,-1.747,2.048473451,-2.089533533,0.04969234
"Cdh4",-0.813949235,-1.758,3.970575766,-2.129937902,0.045829935
"Folr2",-0.875632271,-1.835,1.764786717,-2.246524307,0.036163762
"Cep128",-0.881691489,-1.843,0.628303126,-2.432807765,0.024529399
"Coprs",-0.881950006,-1.843,1.432878814,-2.337521809,0.029959576
"Sbk3",-0.935045974,-1.912,1.438556834,-2.859306297,0.009717228
"Snph",-0.941184137,-1.92,1.72592216,-2.707061929,0.013594011
"Smim4",-0.945302861,-1.926,1.35961916,-2.565009689,0.018502361
"Slc45a3",-0.992863354,-1.99,1.289993477,-2.571986214,0.018226585
"Npc1l1",-1.021096405,-2.029,0.224597119,-2.23494362,0.037032877
"Myh6",-1.031924164,-2.045,1.892664161,-2.943257172,0.008058175
"Mettl25",-1.033053607,-2.046,0.947983837,-2.679287351,0.01444435
"Depp1",-1.051842823,-2.073,3.246129794,-2.348680349,0.029270493
"Odf3l2",-1.183479889,-2.271,5.267814411,-2.162379478,0.042927919
"Arl6",-1.193727353,-2.287,0.734606818,-2.758509874,0.012143048
"Gm45221",-1.227081599,-2.341,0.742780397,-2.169517668,0.042312238
"Ifit1",-1.452011522,-2.736,0.934816059,-2.366791408,0.028183224
"C130080G10Rik",-1.518940954,-2.866,0.788945885,-2.546340501,0.019259778
