"","RBBP7","HDAC1","SIN3B","HDAC2","RBBP4","SIN3A","SUDS3","BRMS1L","SAP30L","ARID4A","ING1","ARID4B","SAP30","ING2","BRMS1","TNRC18","SAP130","HNRNPUL1","BAHCC1","PHF12","TUBA1A","CHD4","GATAD1","GATAD2B","MTA1","MBD3","MTA2","MBD2","GATAD2A","CHD3","PRKDC","CCT2","CCT5","TUBB6","TCP1","MSH2","CCT3","CCT4","CCT6A","CCT8","MORF4L1","CCT7","ERC1","CDK2AP1","MTA3","PWWP2A","CHD5","RCOR1","KDM1A","C16orf87","MIER1","DNTTIP1","WDR5","ZMYM2","GSE1","MIER3","ZMYM3","CTBP1","HMG20A","RERE","RCOR3","CDYL","ZNF516","MIER2","BCL11A","ZNF217","RREB1","RCOR2","PHF21A","ARID5B","MGA","EPPK1","HSPA1A","HSPA9","TUBB4B","TUBA4A","TUBA8","KPNA2","HSPA4","KPNB1","KPNA3","DECR1","HSPH1","CANX","ZNF219","HSPA4L","MORF4L2","ZNF512B","BCL11B","TRERF1","ZNF521","MRFAP1","MRGBP","BRD8","MRFAP1L1","LIN9","LYZ","LIN52","SUZ12","SCOC","LIN37","EZH2","CHAF1A","AEBP2","MYBL2","EED","LIN54","RNF41","PALB2","CHAF1B","EP400","BPTF","ASH1L","PCBP1","TUBB","SNRPD1","TUBA1C","HSPA8","U2AF2","RCC2","SNRPD2","RBM39","HMGB1","SNRPA","BTF3L4","EIF1AX","NUCKS1","ENO1","CKB","EIF5A","CPSF6","BTF3","EEF1A1","HNRNPF","RCN2","PCBP2","C1QBP","NCL","NPM1","SNRNP70","TUBA1B","HSP90AA1","PUF60","TUFM","HSP90AB1","CLTC","EIF5B","CACTIN","NACA","MCM3","DYNC1H1","SNRPD3","MFAP1","SPTAN1","HNRNPA2B1","SSRP1","DDX46","FBN2","FLNA","CSE1L","DSP","CTBP2","ZNF592","TRMT1","FBN1"
"TCGA-A7-A425-01",12.7908,12.9578,12.1867,12.3867,12.9079,12.0575,11.8274,8.0622,11.2963,9.8657,10.1201,11.5548,9.3242,9.0526,13.0362,14.0333,10.6202,13.8719,10.1749,11.8532,13.1386,14.0684,11.7368,11.6193,12.6049,12.7343,12.476,11.6996,12.4991,14.0969,12.6314,12.9106,13.2098,12.2394,13.0422,10.4041,14.2539,12.6777,13.0392,12.3397,13.2314,13.2368,11.23,12.1187,11.6425,10.6402,3.9069,10.8595,12.1774,7.9307,10.1396,11.3264,11.7914,11.7039,13.4312,10.2264,11.3281,13.4098,10.2729,13.1502,11.8017,10.6978,10.7474,11.128,7.5546,12.0714,12.2249,9.1799,11.314,11.5172,10.3966,10.785,14.7096,14.1553,14.5623,11.332,7.7318,11.538,13.0696,13.1794,10.4625,11.3696,11.6083,14.9334,11.9608,7.4019,13.6391,12.2729,7.2479,11.2258,9.7993,14.0935,10.4019,12.3424,12.0258,9.1699,11.1215,8.9396,10.651,11.4522,8.9716,10.6679,10.9873,10.0512,10.8265,9.9009,8.8826,11.3443,10.0647,9.8009,12.1128,11.6077,12.2899,14.4007,15.2433,10.9659,13.423,15.2426,13.4149,13.5726,12.7711,13.8242,13.9861,12.0175,11.2823,12.194,14.3778,15.0109,11.1261,14.2791,12.1833,15.3094,19.0601,13.8324,10.5603,14.6269,12.0307,14.4999,14.6098,14.5092,15.9752,15.1582,13.1466,14.2462,15.7144,13.8993,12.5175,11.3885,15.2372,13.147,14.2217,12.3812,11.0512,14.5399,15.7009,13.0339,12.0895,5.4919,15.4911,12.0461,14.0225,12.6444,11.4971,11.3191,13.5647
"TCGA-A7-A426-01",13.3788,13.1671,13.2399,12.1447,13.6816,12.9135,12.3706,9.1673,11.5736,11.0154,10.6342,12.2837,10.0306,9.9039,12.0056,14.4269,11.2556,14.3588,11.6795,12.1431,14.0761,14.4706,12.1975,12.1228,13.1919,13.1921,13.1521,12.5932,12.6738,14.1722,13.4418,12.7505,13.1843,12.2519,12.6873,11.1144,14.1364,13.2992,13.0699,12.9889,14.1601,13.7635,12.1621,12.7423,11.9968,10.7871,4.585,11.8114,12.9031,8.6366,11.6733,11.0855,12.1608,12.7007,12.9289,10.6092,11.8963,13.7883,11.039,13.8807,12.5053,10.9535,11.6161,11.5517,9.0875,12.537,12.2556,6.8704,12.0761,12.5401,11.6402,11.8632,14.9894,13.7751,14.2002,10.9687,8.3852,12.2911,12.8792,13.2289,11.3531,12.0761,12.5258,14.8943,12.4628,8.9726,13.7479,12.3514,8.8455,10.6484,11.7198,14.6841,10.6952,12.5505,12.8788,9.5137,11.2495,10.2324,11.1163,12.097,9.8026,10.6129,10.8963,10.7254,9.5333,10.5812,9.8361,11.6996,10.2784,9.9322,12.4133,12.3568,12.5887,14.7562,15.3333,11.4384,12.7061,15.1684,13.8559,13.9947,13.2326,14.6911,14.8331,12.4333,11.9488,12.7355,14.689,15.4854,11.9414,14.4152,12.5983,15.3056,19.5306,14.3156,11.7048,15.4834,12.3465,15.1351,15.091,15.4599,15.6558,15.3112,13.9871,14.2208,16.196,14.4111,13.1362,11.827,15.6588,12.9442,14.5616,12.2952,11.6411,14.9173,15.7303,13.5651,12.3078,8.3663,16.2396,12.3587,15.1693,13.5311,11.9776,12.0403,13.5322
"TCGA-A7-A4SA-01",13.2415,12.127,11.4336,11.9968,12.7686,12.3683,10.7012,7.7673,10.6253,10.584,9.4205,11.1061,7.5699,8.1948,10.8033,13.11,9.96,13.2894,9.4998,11.2174,13.9174,13.4609,10.5372,10.6175,11.8875,11.9445,11.7,11.1991,11.4838,13.0932,12.9353,12.3753,12.7905,10.9958,12.6302,10.6795,13.5396,12.1935,12.7614,12.2058,13.249,12.9462,11.3304,11.5609,11.0961,9.2046,4.585,10.8572,11.9604,7.6795,10.8781,11.0182,10.8903,11.168,12.169,9.2992,10.7871,12.5526,10.481,11.9355,11.2533,9.6671,10.1277,10.1306,6.8329,12.1805,11.3083,5.1699,10.6812,10.9993,10.8819,11.7999,14.5468,13.2214,13.7797,9.644,7.2705,12.4888,12.2476,12.8,10.2796,10.9484,11.9719,13.9187,10.5594,8.0083,12.8734,12.0935,8.96,10.2336,9.6795,13.8541,10.7243,11.2426,11.7997,8.8392,13.2948,8.5507,10.9944,11.5058,8.7824,10.4336,9.7665,9.1319,11.2306,8.7582,9.1874,10.3095,8.9773,9.6457,11.0968,12.0261,11.5333,14.0296,15.5256,10.0592,13.0857,15.1001,12.7537,12.8323,12.2375,13.749,13.5648,11.4813,11.6171,12.8386,13.569,14.1563,13.107,13.1226,11.4671,14.2428,18.3804,13.3311,11.5314,14.329,10.4727,14.1617,14.0308,13.1856,15.3344,15.6228,13.0107,12.9298,15.0335,14.8607,11.9349,10.4155,13.963,11.8572,14.3095,11.9701,10.568,13.7145,14.7573,12.4236,11.5718,6.8074,15.5694,12.3273,13.5159,12.9487,11.6852,10.3859,13.6587
"TCGA-A7-A4SB-01",12.2732,12.0028,11.785,11.3826,12.9179,11.5305,12.0001,8.2759,11.1605,9.6165,10.2125,11.7924,8.2336,8.8549,10.6411,13.5098,10.4346,13.2403,10.927,11.3083,12.919,13.3469,11.4157,11.5718,11.4615,11.5043,12.0179,11.043,11.8599,12.9276,12.3788,12.2213,12.5729,10.684,12.318,10.3955,13.0795,12.0455,12.659,12.603,13.1223,12.5118,11.0056,12.2346,11.4671,9.9571,3.3219,10.7879,11.7339,7.4998,11.0741,9.5736,10.4645,11.8182,12.042,9.4979,11.2174,12.5407,10.1192,12.3939,11.6398,9.9873,8.9887,10.3264,4.3219,12.211,11.2644,5.8074,10.2491,10.1098,10.8826,10.958,14.6287,13.0396,13.6183,10.0053,7.3811,12.1616,12.5231,13.3505,10.8849,9.8533,12.1299,14.7479,9.7253,9.7625,14.0767,10.956,5.1699,10.5622,10.6935,13.7646,9.1774,11.5265,11.7822,8.7814,8.0003,8.4009,11.2139,12.4709,8.29,10.3004,9.9352,10.5906,9.676,8.5699,9.8765,10.4778,9.2119,9.5098,11.8474,11.1455,12.1241,12.9764,14.5204,10.5187,12.8708,13.5982,12.4762,12.6191,11.5859,13.365,14.0372,11.3448,10.8869,12.1442,13.8153,13.571,6.6294,12.9507,12.0126,14.1891,18.0254,12.85,11.6996,14.2309,11.178,13.78,14.1187,13.5515,15.5062,14.5858,11.921,12.9723,15.2865,14.1573,11.9396,10.419,14.6043,12.2432,12.8978,11.8148,9.8202,13.4368,15.0166,12.3362,11.6498,8.0112,14.2085,11.2825,13.9499,12.1228,10.8757,10.7177,11.7713
"TCGA-A7-A4SC-01",12.0244,10.9447,11.5294,11.1743,12.0258,11.8792,11.0668,7.8392,10.7151,10.2046,8.68,11.8129,9.2288,7.8517,10.3587,13.696,10.3955,13.5075,10.8642,12.0845,12.0031,13.6123,10.8626,11.5699,11.5541,11.7271,11.5897,11.2444,11.7326,12.8244,13.0543,11.5943,12.0447,11.1569,12.4075,10.4717,13.5873,12.4716,12.1324,12.0013,12.9133,12.5343,12.3115,12.2043,11.2674,9.4325,3.4594,10.6874,10.9256,7.4094,10.2842,9.4898,10.6977,11.4357,12.2793,10.2107,11.3236,12.5391,10.5432,12.7256,11.9388,10.2444,10.8696,10.2372,7.7142,12.0647,11.9311,5.8329,11.0362,11.4299,10.8313,9.6348,13.1284,13.1741,13.7964,10.9113,6.9777,11.2043,12.3636,13.0608,11.0063,10.5774,11.8521,14.9312,10.4,8.2569,12.8719,11.5903,7.8009,8.8329,10.0251,13.349,9.4737,11.0272,11.3236,8.224,12.0751,8.7142,10.7893,11.809,7.9283,8.5236,9.7004,10.2252,9.0307,9.388,9.3287,10.2009,9.2854,8.9009,11.9733,11.9821,13.0014,13.3843,14.1085,10.2143,11.4935,15.4376,12.416,12.4092,11.4691,13.205,12.7044,11.0492,10.3656,11.9888,14.2089,14.5846,8.3174,12.8665,11.6742,13.6259,18.403,13.0942,10.809,13.3206,10.0674,13.9964,13.8005,13.2774,14.2187,15.2322,12.1812,12.4349,14.5864,14.4383,11.9629,10.2551,13.6564,10.6768,13.9939,10.409,10.4502,13.6854,14.5649,12.1787,11.3788,4.7004,14.6708,11.567,14.1781,11.919,12.096,10.1972,13.8399
"TCGA-A7-A4SD-01",12.7735,12.666,11.2894,12.7762,12.4158,11.3596,11.5808,8.4082,9.7177,9.5527,9.7198,11.1828,7.954,7.0875,10.9979,13.4325,10.7674,14.3095,10.8971,11.1978,13.0211,14.0111,10.2633,11.3095,11.3078,11.2198,12.1225,11.8607,11.8424,13.3002,13.9491,12.3985,13.4507,12.1847,13.691,11.1053,14.232,12.795,13.567,12.0651,13.384,13.1028,12.21,12.1261,10.568,9.0715,3.4594,10.8994,12.3493,8.5661,11.1105,10.0647,11.0728,11.5201,12.7035,8.8041,11.381,11.8085,10.3086,12.4152,10.93,11.2586,9.8329,9.1674,9.7665,11.5058,11.8094,8.4838,11.6861,12.0279,10.9256,9.9959,14.1503,13.5581,13.401,12.5746,5.8237,12.4365,12.5553,13.427,11.1059,10.8001,12.3371,14.7267,9.3622,8.6519,13.3397,11.9128,8.4221,8.9039,9.7781,12.62,10.1523,10.4315,10.3117,9.7381,12.0736,8.6865,11.1557,10.0901,9.085,10.1499,9.7499,11.5299,11.8317,9.9069,8.7814,10.8439,9.1774,9.611,10.7114,11.725,12.192,13.9539,15.4589,11.1119,14.0415,15.2545,13.0255,14.1977,12.8059,13.4413,13.5707,11.6059,11.6972,12.5543,14.226,16.8053,9.8218,14.2347,11.815,12.4112,18.0844,13.254,11.6294,14.0159,11.6877,14.8892,14.5586,13.1437,15.2359,15.7309,12.8621,12.8876,15.7911,14.2608,12.4604,9.9114,13.8683,12.0961,14.3851,11.7273,10.4115,13.9546,14.6171,12.8836,11.3883,9.4263,16.2389,12.5575,15.9807,11.9845,11.2258,10.341,13.7676
"TCGA-A7-A4SE-01",12.6044,12.3628,12.0478,12.8218,12.9906,10.9755,11.2765,8.8847,11.0614,9.1447,9.9644,11.3901,8.0389,7.7004,11.1836,12.5389,10.9181,13.8831,11.1098,10.6944,13.603,13.3422,10.2538,11.4445,11.0181,11.7732,12.1023,11.1389,12.4808,13.7428,12.6742,12.0234,12.3018,12.9546,12.9652,10.6978,14.3216,12.7535,13.5539,12.7834,12.784,12.8759,11.3197,12.5064,10.4157,9.4242,4,10.6375,11.0403,8.4263,10.9388,10.6357,11.3424,11.1935,10.6384,9.7715,10.6591,12.5841,9.9252,11.0908,10.4522,10.4828,8.8642,10.0688,9.0389,11.7879,10.5372,8.6036,10.5469,11.3225,10.7177,12.9269,14.9919,13.1662,13.4089,11.2585,6.9259,12.3321,12.0468,12.9602,11.2842,10.2958,12.4851,14.2726,9.6842,7.6512,13.0647,11.1612,9.0875,8.4429,9.5831,13.5983,10.102,10.5536,11.4903,9.7731,11.2384,8.5275,10.8319,11.2113,9.0791,10.4398,10.0403,10.5068,12.3032,9.1215,8.8297,11.128,9.7632,9.7863,11.0048,11.4103,12.2243,13.477,15.9372,11.199,14.1314,14.9388,12.4944,12.5672,11.3993,13.1832,13.5398,11.227,11.8436,12.5733,14.3935,14.4114,9.6221,14.3181,11.5353,13.0858,18.4066,12.1867,11.0028,14.0641,12.25,14.0761,14.5313,12.3126,15.7096,14.829,13.4622,13.117,16.21,13.6192,12.5723,10.0434,14.4381,12.5618,13.7734,11.127,9.8842,14.1497,14.259,13.3518,11.2058,12.4479,16.8659,13.1071,15.6549,11.5719,11.7661,11.1408,13.5124
"TCGA-A7-A4SF-01",12.6454,13.0264,10.5831,12.1655,13.1802,11.4209,11.1954,7.9423,9.9944,9.5157,9.0112,10.9823,5.8826,8.1137,11.8872,12.9471,10.5459,13.5772,9.7599,10.9571,13.2027,13.5799,11.1111,10.0279,11.5065,11.6511,11.9516,11.0526,11.2871,13.7075,12.6533,14.9741,13.9707,9.0161,13.033,11.0587,14.5349,12.7326,13.3358,12.9593,12.6365,13.5371,11.6742,11.5962,11.5522,8.9915,2.585,11.1351,11.7432,9.1972,9.8025,10.6202,10.9512,11.1157,13.0019,9.6129,11.1124,12.7668,10.0889,11.5746,10.733,10.2396,6.4429,9.9144,4.4594,12.0042,11.3859,6.4263,10.0914,10.6064,10.4502,10.9666,16.0894,13.645,13.5316,9.5919,5.3913,12.204,12.3904,13.6118,10.1434,10.1911,13.4023,13.8753,10.1886,5.753,13.77,12.1335,6.6439,11.3404,7.5925,13.9592,10.6528,10.7649,11.5981,8.5314,11.2765,9.0634,10.5236,11.544,8.6973,10.1033,9.8138,9.733,12.0921,8.4305,8.8549,10.4543,9.875,10.0182,11.0463,11.8139,11.9686,13.8494,15.4139,10.2232,13.7397,15.1192,12.887,13.1405,11.7855,13.5428,13.8213,10.9593,11.7881,12.2742,13.8629,14.3331,8.6402,14.0176,12.312,13.4966,17.7589,13.9752,10.5897,13.5882,11.9148,14.3839,12.7241,13.1346,15.5962,16.3955,12.9409,13.9983,16.9084,16.3328,12.3544,9.9491,13.5895,12.7895,14.3507,11.2998,10.2216,13.1194,14.9199,13.2546,11.2397,4.7004,13.6761,12.7434,14.5354,11.7881,10.4374,10.2527,12.2119
"TCGA-A7-A56D-01",13.4716,11.633,9.9687,11.3912,10.3065,10.2972,10.5448,7.5469,10.2131,7.6511,10.3836,9.1674,8.2432,8.1799,12.8935,12.3035,9.1923,12.1674,8.3443,11.4988,14.2065,13.2886,8.8106,8.8796,11.435,12.784,11.4974,10.7108,10.8478,12.2671,11.1299,11.9524,12.3011,12.3952,12.1965,8.3129,14.0372,13.0391,11.5372,12.138,12.965,13.5171,9.5314,11.8825,10.8781,7.5236,4.585,8.7313,11.4067,6.4594,8.1997,10.8872,10.8329,9.9039,10.2935,7.7347,9.2992,11.6344,6.1106,10.2831,9.3219,9.2479,8.3219,9.8471,5.5546,8.5925,9.5887,6.585,9.2264,9.0768,8.8549,9.8502,14.5127,13.0123,14.3704,10.8041,7.1147,12.2268,11.7649,11.4048,9.6348,10.5459,11.7632,13.7463,10.0253,5.4283,12.8746,10.5233,1.585,9.388,8.6036,13.0951,10.446,9.66,10.4909,5.5236,7.7531,9.1344,8.4136,9.7928,9.1323,8.5774,8.9858,7.8265,11.9293,9.0821,7.1396,9.7814,7.1085,8.7715,10.101,8.9366,9.1189,11.5189,15.1405,11.8983,11.517,15.2976,11.8122,12.204,13.8309,12.3137,13.0606,11.7511,10.5696,11.5873,13.6726,16.0648,13.1067,14.1439,10.2572,14.1232,17.7979,11.3044,9.3509,13.5517,11.041,13.1373,13.714,13.264,13.4574,15.3202,13.3371,13.3803,15.3288,14.583,12.7444,9.7524,14.5009,11.4788,13.9926,12.3329,10.2288,13.3592,13.1416,11.8846,9.6582,5.6439,15.0237,12.366,12.8293,10.9176,10.716,10.1599,13.2925
"TCGA-A7-A5ZV-01",12.1596,12.6777,11.0688,11.1874,12.6682,11.0636,11.0666,7.5307,8.9887,8.4878,8.8084,9.8392,9.5176,7.4094,10.5167,11.7936,9.875,13.1111,10.3576,10.043,12.4406,14.201,10.1687,10.8202,10.6275,10.6653,11.0293,10.0553,12.1507,12.9876,13.8926,11.5137,13.476,12.0556,12.5704,10.4273,14.1422,13.351,13.134,12.0718,12.9186,13.9936,11.6448,14.0714,10.6768,7.3923,4.3923,10.5915,11.5608,7.7347,8.3354,10.6952,12.0708,10.2597,11.7777,7.8265,9.7228,11.2291,9.849,10.0279,10.7448,8.7074,8.0768,9.8042,10.2981,10.1762,9.9159,11.2473,11.3032,11.7511,9.6073,5.7814,14.57,13.373,13.605,10.8349,5.8117,12.5591,12.0403,12.3303,10.3674,11.8186,11.4078,14.4316,8.9721,6.8704,12.5613,10.4979,9.6257,9.098,11.1948,12.2015,10.0139,10.6546,10.0526,8.2095,9.6973,8.7715,10.0132,10.5018,8.2097,10.2527,10.6119,9.6129,10.1824,9.3354,8.9972,9.8642,8.7039,9.1548,10.9363,11.6319,11.8876,14.1642,14.4574,11.2498,13.2596,14.2816,12.4416,11.9248,12.1463,12.5774,12.6753,11.4944,11.7725,11.8201,13.7185,14.9696,8.4388,14.1449,11.2773,12.4906,17.3842,13.3204,11.8289,13.8882,11.1267,13.7785,13.0752,12.0213,15.5019,14.861,13.6102,13.0631,16.6885,14.3183,11.5561,10.7968,13.6257,12.8696,13.7647,11.5705,9.5736,12.6396,13.8044,13.0934,10.9636,12.7607,15.7819,12.1312,13.5672,11.3784,10.545,11.0114,10.1497
"TCGA-A7-A5ZW-01",12.6513,12.3168,10.7013,12.3859,13.2892,11.9496,11.7268,9.3036,11.1655,10.1687,10.285,11.697,8.7846,9.6795,10.9794,12.2822,10.1523,13.1664,9.9396,11.2391,14.4122,13.6731,11.1849,11.2586,11.1263,12.1146,11.941,12.0755,11.6119,13.4712,12.9123,12.9524,12.9217,11.9837,13.0341,10.5784,14.2415,13.3398,13.2613,13.1023,14.2352,13.4462,10.9766,13.0151,11.42,10.0265,3.3219,11.1731,12.2167,8.5887,11.556,10.2396,11.2808,12.4393,11.8769,10.5765,10.7305,12.4785,10.4289,12.4202,11.5177,10.7406,10.5382,9.7279,7.9715,11.9432,11.3912,5.6147,10.5555,12.0492,10.9665,10.6303,13.8162,13.9097,13.5437,9.9242,6.8217,11.4296,12.9043,13.3264,11.3219,11.8106,12.0341,14.9943,10.3167,8.2801,13.6852,10.8618,7.6147,9.4757,10.9144,14.2787,9.8595,11.3685,12.4073,8.6147,12.9455,9.2877,11.4151,12.6122,8.4135,9.1033,9.6742,10.7142,7.8704,10.1573,9.5314,11.1026,9.7879,8.8611,11.1007,11.611,12.3688,14.152,15.1354,11.2622,12.929,15.9235,12.5943,12.8872,12.5627,13.5187,14.9164,10.7838,11.7234,13.2149,14.5274,14.9482,9.4838,13.9407,12.1415,14.8063,19.7123,14.2031,11.9837,14.5922,12.1494,14.9537,15.2176,12.81,15.0336,15.5755,12.8398,13.1285,15.5546,14.4125,13.0161,10.3321,15.3254,12.1098,13.4405,12.0533,11.2958,13.9399,15.0219,12.8267,11.8945,8.3619,14.9058,12.2003,14.537,13.4352,11.3884,10.1267,14.0793
"TCGA-A7-A5ZX-01",12.6469,12.513,11.749,12.4171,13.4205,12.1223,11.7695,8.9422,11.3961,10.6193,10.0162,11.96,9.3287,9.29,11.0721,13.383,10.4325,13.474,10.6564,11.8074,13.769,14.0141,11.6729,11.6773,12.2447,12.5822,12.1225,12.0658,11.697,13.2734,12.8228,12.5341,12.5763,11.635,12.9733,10.6795,14.0072,13.3522,12.7991,12.8791,14.022,13.461,11.2732,12.6797,11.617,9.8057,4,11.3219,12.4848,8.543,11.5103,10.3498,11.4013,12.3098,12.127,10.5774,11.3929,12.8518,10.3499,13.2867,11.8611,10.6856,10.8017,10.3253,9.2644,11.9683,11.8182,6.2668,11.286,12.3669,11.0821,11.4677,14.4203,13.4077,13.3469,9.8575,7.7334,10.2278,12.3312,13.1071,10.8074,11.3815,12.1463,14.7533,11.7013,9.317,13.381,11.4085,7.3487,10.1737,11.6036,14.2816,9.8122,11.8297,12.4679,8.611,10.7557,9.1472,11.1398,12.4871,8.6863,8.7616,9.5236,10.9189,7.3399,10.3597,9.4939,10.8895,9.5372,9.5981,11.7635,11.7323,12.3832,14.1219,15.1048,11.0728,11.9966,14.8155,12.7762,13.3321,12.7773,13.8959,14.6844,11.5018,11.6005,13.051,14.421,14.987,9.9944,13.2039,12.1504,15.0774,19.7356,13.8236,11.9766,14.7561,11.5309,14.6786,14.9492,14.0903,14.7949,15.2913,12.9903,13.1923,15.9046,14.1267,12.6691,10.8044,15.421,12.0861,13.8428,12.1527,11.2866,13.8868,15.1435,12.9889,11.9665,7.9129,15.6313,11.9726,14.874,13.0723,11.4466,11.0251,13.8968
"TCGA-A7-A6VV-01",12.9251,13.013,12.0345,12.8965,13.9943,12.5142,11.6104,8.3785,10.6662,10.6777,9.9477,11.1831,9.9454,8.8948,11.2234,13.8839,11.268,14.7064,11.6524,11.4666,14.6603,14.3259,10.0084,12.4944,12.4007,12.2083,13.2459,11.8525,12.5324,14.2344,14.8264,12.4638,14.7915,14.0658,13.6308,12.4712,14.9895,13.5875,12.9751,14.5679,14.2762,13.7477,12.2414,14.0078,10.268,9.7682,4,11.9798,12.5967,8.7715,11.0532,11,11.5535,12.0475,12.4323,10.4988,11.1228,12.5121,11.2891,13.3524,10.6961,11.4783,10.014,10.3129,11.0788,12.3589,12.6746,9.7863,10.8948,11.6878,11.5551,13.4394,14.4092,13.7171,13.7866,12.4195,7.424,12.7305,12.8361,13.7963,11.5831,11.3399,12.7415,14.9296,10.6931,6.0448,13.1347,12.1371,11.7495,8.9887,10.8202,13.0918,11.2336,11.29,11.014,9.1548,13.8578,10,11.1123,11.2414,8.3743,11.314,11.2192,10.599,13.5427,10.1687,9.5353,11.0161,9.6777,11.2907,11.8945,12.1449,12.9088,14.412,16.5993,11.7591,14.3437,15.747,13.6913,14.679,13.0413,12.919,14.5611,12.4717,12.0083,12.3609,14.1536,16.9611,10.0403,14.7071,12.0614,13.8297,18.7868,14.6305,11.8412,14.3462,12.0095,15.4536,14.7022,14.057,16.3048,17.0923,13.7429,13.7821,16.2785,14.5169,13.3116,10.691,14.48,13.4346,15.8938,12.2314,10.7039,14.5185,15.5326,13.6113,11.697,8.3219,17.0766,13.1765,15.4495,12.7104,12.6519,11.1312,14.8142
"TCGA-A7-A6VW-01",13.1421,12.5871,11.4569,13.3343,12.3188,11.7072,10.7078,8.5425,11.0908,7.8138,9.6374,10.2456,9.4408,8.3576,12.7013,12.6508,10.9629,13.7165,10.4625,10.2396,13.3634,13.7369,10.0251,10.7022,11.8575,12.8302,13.2201,11.981,12.6142,13.2741,12.9149,12.6418,15.1069,13.0662,14.736,11.7948,14.8494,14.3154,13.913,13.5948,14.2126,14.3639,11.4089,12.8531,12.0238,9.4346,3.585,10.2527,12.4097,7.6439,10.058,10.7168,11.6519,10.7262,10.6591,8.6073,11.3745,12.7382,9.4325,11.041,10.6375,10.1344,6.8948,10.4332,10.3083,9.6475,10.4346,9.0715,10.9542,11.7398,9.8796,10.6521,14.9759,13.2445,15.1676,10.446,7.5746,13.4032,12.4981,13.1677,10.733,11.7969,12.0614,15.5666,11.2373,8.4263,13.4679,10.2148,7.3129,7.4429,7.7211,13.6744,10.218,11.0728,11.1636,9.5157,10.4681,8.2946,10.4947,10.6411,9.6231,11.4888,11.5765,10.545,13.0683,10.7541,8.5999,10.5206,9.3242,11.1163,10.6353,10.2164,10.4221,14.2471,16.9526,12.8406,14.0446,16.267,13.0875,13.5434,14.1227,12.1586,13.9498,12.7277,12.1186,12.2911,14.6153,16.0742,9.8781,14.734,11.5416,14.3038,19.7872,13.5564,11.6142,14.481,12.5818,14.9951,16.2978,13.6946,15.8185,15.5736,13.8107,13.8834,16.6282,13.2939,13.4724,11.0991,15.01,13.5314,13.5109,12.3617,10.6339,13.5838,15.6214,14.3336,10.9662,7.1085,14.8414,12.6022,14.2222,12.8657,11.7989,10.9773,11.3837
"TCGA-A7-A6VX-01",14.3556,12.5006,11.1542,12.3693,13.6044,11.7614,11.5128,9.085,11.6303,9.5314,9.9596,12.5342,9.2476,8.29,11.3482,13.1134,10.4491,13.8701,10.3276,11.2282,13.1366,14.2378,11.5703,11.2101,11.424,11.7832,11.9421,11.6604,12.043,12.7209,14.1738,13.2572,13.5261,11.1477,13.9753,10.8258,14.7787,13.1157,13.2155,13.3523,13.6437,13.1133,12.4035,12.2454,10.8857,9.8345,3.585,10.5755,11.7237,8.3663,11.3146,10.4367,11.0444,11.2814,12.6179,10.5641,11.3415,11.5843,10.6048,12.4963,11.9687,10.8337,10.2131,9.6147,4.3219,11.9603,11.6636,6.8202,11.2372,11.2703,10.9352,12.5317,15.4052,13.9658,13.6167,11.2677,7.4022,12.2349,12.7618,13.1624,10.0444,11.7822,12.5053,15.5784,10.8194,8.732,14.264,10.9636,5.7279,11.1248,9.8642,13.2105,9.4734,11.6384,11.1026,9.1163,10.8608,9.0715,10.8683,11.5831,9.3413,10.1787,10.1624,10.8376,10.2216,10.1836,9.1548,10.7624,10.1189,10.352,11.3235,11.5962,12.8973,14.0431,15.1973,11.8772,12.7452,15.8557,12.8893,13.0664,12.4445,13.6891,13.6478,11.4003,11.4028,13.2136,14.785,14.9407,10.9951,12.8716,12.341,14.2473,18.4065,12.5608,11.9672,14.1392,11.6826,14.392,14.7368,13.6734,15.315,16.0089,13.4606,13.4576,16.5845,14.4838,12.3924,10.3675,14.3043,13.1272,14.1938,12.6941,10.9823,13.8628,15.1649,13.4015,11.5335,8.2574,15.4767,12.0375,15.4736,12.6583,11.943,9.6366,14.2797
