"","ROW_NAMES","Halo_ARID4A_REPLICATE_dS_AVG","Halo_ARID4B_REPLICATE_dS_AVG","Halo_BRMS1_REPLICATE_dS_AVG","Halo_BRMS1L_REPLICATE_dS_AVG","Halo_GATAD1_REPLICATE_dS_AVG","HDAC1.Halo_REPLICATE_dS_AVG","HDAC2_Halo_REPLICATE_dS_AVG","Halo_ING1_REPLICATE_dS_AVG","Halo_ING2_REPLICATE_dS_AVG","MORF4L1_Halo_REPLICATE_dS_AVG","Halo_PHF12_REPLICATE_dS_AVG","Halo_RBBP4_REPLICATE_dS_AVG","Halo_SAP30_REPLICATE_dS_AVG","Halo_SAP30L_REPLICATE_dS_AVG","Halo_SAP130_REPLICATE_dS_AVG","SIN3A_Halo_REPLICATE_dS_AVG","SIN3B_2_Halo_REPLICATE_dS_AVG","Halo_SUDS3_REPLICATE_dS_AVG"
"43","TCP1",0,-1.311235,-4.409096,-2.632653,-3.607579,528.8659,761.3608,0,-1.772613,-1.638965,-4.675008,-13.83981,-7.744887,-18.75815,-5.512351,-3.00421,-7.706995,-1.51271
"44","MSH2",0,-0.6305194,-0.5020739,-0.8206528,-0.4563726,0.2737249,-2.016239,-0.7406843,0,-1.076987,-0.02681077,0,20.22324,57.84644,-1.915347,-1.377989,-2.27892,0
"45","CCT3",-1.724812,-2.497178,-3.444858,-4.385407,-1.091741,181.6271,400.429,-1.376053,-2.337304,0,0,-5.364888,0,-4.230389,-1.567934,-1.460902,-3.013178,-3.11344
"46","CCT4",-0.9986138,-2.38594,-1.536468,-1.225685,0,186.521,304.227,-1.326614,-3.099177,0,0,-5.97137,-2.091148,-1.211358,-1.518495,0,-2.901941,-4.127498
"47","CCT6A",0,-3.05522,-3.272163,-5.555335,-1.33976,421.5766,829.3004,0,-1.743534,0,0,-7.34904,-1.194796,-7.316729,0,0,-10.126,-4.759988
"48","CCT8",-1.004825,-2.404574,-2.998754,-3.087472,-2.813629,167.5557,325.7665,0,-4.327108,0,0,-6.480471,-2.109782,-2.088565,-3.882162,-0.825397,-2.547763,-1.596219
"49","MORF4L1",0,0,0,0,-14.97563,-26.41834,-17.66879,0,0,11057.22,-15.50638,-2.067454,0,0,0,0,-28.69555,0
"50","CCT7",0,-4.045991,-2.425377,-1.414473,0,317.7421,565.383,-1.515402,-3.521056,0,0,-9.910931,-1.113294,-3.234889,-2.952469,0,-9.147975,-4.216641
"51","ERC1",36.05729,-6.230987,0,0,-2.760159,0,0,910.9707,-1.364733,0,0,0,0,-8.241755,-2.566622,0,0,0
"52","CDK2AP1",0,0,0,0,0,98.57253,48.29177,0,-0.6168192,0,0,8.592877,0,0,0,0,0,-0.8325151
"53","MTA3",0,0,0,0,0,822.6119,88.84276,0,0,0,0,-10.76554,0,0,-0.5397144,0,0,0
"54","PWWP2A",0,0,0,0,0,80.46457,63.92362,0,0,0,0,3.050244,0,0,0,0,0,0
